timestamp,model,provider,operation,namespace,cost_usd_cumulative
1787673300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787673600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787673900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787674200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787674500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787674800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787675100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787675400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787675700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787676000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787676300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787676600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787676900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787677200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787677500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787677800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787678100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787678400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787678700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787679000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787679300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787679600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787679900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787680200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787680500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787680800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787681100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787681400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787681700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787682000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787682300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787682600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787682900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787683200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787683500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787683800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787684100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787684400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787684700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787685000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787685300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787685600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787685900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787686200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787686500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787686800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787687100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787687400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787687700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787688000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787688300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787688600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787688900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787689200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787689500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787689800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787690100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787690400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787690700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787691000,meu-assistente,ollama,chat,suse-ai,0.0001326
1787691300,meu-assistente,ollama,chat,suse-ai,0.0001326
1787691600,meu-assistente,ollama,chat,suse-ai,0.0001326
1787691900,meu-assistente,ollama,chat,suse-ai,0.0001326
1787692200,meu-assistente,ollama,chat,suse-ai,0.0001326
1787692500,meu-assistente,ollama,chat,suse-ai,0.0001326
1787692800,meu-assistente,ollama,chat,suse-ai,0.0001326
1787693100,meu-assistente,ollama,chat,suse-ai,0.0001326
1787693400,meu-assistente,ollama,chat,suse-ai,0.0001326
1787693700,meu-assistente,ollama,chat,suse-ai,0.0001326
1787694000,meu-assistente,ollama,chat,suse-ai,0.0001326
